"bskyUsername","bskyPostHash","action","author","handle","text","timestamp"
"anagha00@umd.edu","01b94a55-5c23-53e7-8e3e-6b5cf5746751","New Post","NBC News","nbcnews.com","""BREAKING: U.S. economy added 228,000 jobs in March, far more than the 140,000 economists had expected. ""","2025-04-04T12:54:41Z"
"anagha00@umd.edu","04870610-5507-51de-8eb6-98cf4819e31b","New Post","NBC News","nbcnews.com","""While bird flu cases in both poultry and cattle have both fallen, along with the average price of eggs, health experts say that cases could rise again amid the spring migration, which typically peaks in May and June in the continental U.S.""","2025-04-07T22:00:15Z"
"anagha00@umd.edu","04a96d4f-8a47-5e15-8aac-0c975d2c86f7","New Post","NBC News","nbcnews.com","""Rifts are growing among Taliban leaders over their decision to ban girls from secondary education. ""","2025-04-06T14:00:05Z"
"anagha00@umd.edu","058af2dc-85a1-5229-903f-9823e5bb983b","New Post","NBC News","nbcnews.com","A federal judge denies the government’s motion to dismiss the detained Tufts University student's petition for her release and orders the case to be moved from Massachusetts to Vermont.","2025-04-04T19:45:05Z"
"anagha00@umd.edu","063f4bcd-e43a-51d0-8885-f2df3fdb2cf2","New Post","NBC News","nbcnews.com","""Here’s what you need to know about President Trump’s tariffs, how they work, who pays for them in the short and the long run and why they are even used in the first place:""","2025-04-07T16:00:09Z"
"anagha00@umd.edu","0674c84d-d9c2-5aba-a1e0-72c303937686","New Post","NBC News","nbcnews.com","The Department of Homeland Security says in a court document that the IRS has agreed to share certain tax information filed by undocumented taxpayers with ICE.","2025-04-08T20:00:08Z"
"anagha00@umd.edu","06c024e8-b748-5288-acbb-58bd2a917c5e","New Post","NBC News","nbcnews.com","""President Donald Trump backed an effort Thursday to allow remote voting by House lawmakers who are new parents, directly inserting himself into a Republican dispute that brought legislative business to a halt this week.""","2025-04-04T02:15:05Z"
"anagha00@umd.edu","0848bc24-9842-5a22-95f7-2915ab8b7e0c","New Post","""Science Friday ""","scifri.bsky.social","""For many, an uncorked bottle is the sound of celebration.\n\nBut for a physicist and homebrewer, it presented an opportunity to study the intense changes in temperature, sound, and speed that occur when a swing-top glass bottle is opened.""","2025-04-05T23:00:08.954Z"
"anagha00@umd.edu","08c531f1-9e84-5dea-bb03-2196c6f525a3","New Post","NBC News","nbcnews.com","""Minnesota, Vermont and other states and cities say they will not comply with Education Department orders to affirm that they do not have unlawful DEI practices.""","2025-04-08T19:00:12Z"
"anagha00@umd.edu","094c536c-3a77-50c7-a680-198a068e6f5e","New Post","NBC News","nbcnews.com","""A prayer space inside the Elmer Holmes Bobst Library was """"desecrated with urine and obscene, lewd images defacing the walls,"""" according to the university's associate chaplain of Global Spiritual Life.""","2025-04-06T01:00:09Z"
"anagha00@umd.edu","0997f98a-3ae9-54b2-a156-8862e7ef4110","New Post","NBC News","nbcnews.com","""Tony's Chocolonely Inc. issues a voluntary recall after consumers complained of """"small stones"""" in their chocolate bars. ""","2025-04-05T19:00:09Z"
"anagha00@umd.edu","09e8d3a1-3772-5db0-a850-d2cd8d2837e5","New Post","NBC News","nbcnews.com","Scientists genetically engineer wolves with white hair like the extinct dire wolf.","2025-04-08T05:00:07Z"
"anagha00@umd.edu","0a6dca60-6aff-59e5-b035-92a77beed0ee","New Post","NBC News","nbcnews.com","""As economic chaos from the Trump administration's aggressive global tariff policy continues, NBC News' Alex Tabet asked Americans how they feel about the current state of the U.S. stock market. nbcnews.to/3FPLKr9""","2025-04-04T21:19:37.031Z"
"anagha00@umd.edu","0ac40059-21b6-5e86-9a78-7a3de7df8244","New Post","NBC News","nbcnews.com","LIVE UPDATES: Houston Cougars face Florida Gators in the NCAA men’s basketball championship.","2025-04-08T00:35:05Z"
"anagha00@umd.edu","0b8901fb-0725-532c-9cab-a985921fe9db","New Post","NBC News","nbcnews.com","""For decades, an ICE policy restricted operations on churches, schools and hospitals. \n\nBut it was reversed in January by the Trump administration, sowing fear among parishioners about whether it is safe to attend their church.""","2025-04-07T21:00:08Z"
"anagha00@umd.edu","0ba18246-cde2-527e-b472-0cbaf0e8426d","Reposted by @emrazz.bsky.social","Rep. Zooey Zephyr","zoandbehold.bsky.social","""Great showing at Missoula's Hands Off rally today!\n\nIt was an honor to get to speak briefly, and to introduce the folks doing amazing work on the ground here in Missoula.""","2025-04-05T22:33:04.865Z"
"anagha00@umd.edu","0cbbbf78-ce79-5180-982c-32374926f2cf","New Post","BBC Newsnight","bbcnewsnight.bsky.social","""""""If anyone came up to a child and said 'you know what, you're too fat'... you see how free that speech would be. These platforms do it to thousands of kids.""""\n\nImran Ahmed, CEO of the Center for Countering Digital Hate, on freedom of speech and online safety.\n\n#Newsnight""","2025-04-04T09:03:49.220Z"
"anagha00@umd.edu","0e576f0d-7ffa-5609-a9b3-fbbb4a1c958a","New Post","NBC News","nbcnews.com","""A Michigan couple who were jailed in Mexico for almost a month after they disputed charges related to a Mexican timeshare have returned to the United States, their lawyers say.""","2025-04-04T03:30:06Z"
"anagha00@umd.edu","0e91c838-95e8-59a6-b907-d73579bda34b","New Post","Pop Base","popbase.tv","Kanye West reveals he and Bianca Censori have split after his recent tweets caused her to have a panic attack.","2025-04-03T09:39:42.205Z"
"anagha00@umd.edu","0eca8b0a-6b58-5524-983d-c983c3c2d9fd","New Post","NBC News","nbcnews.com","Maria Shriver would like to set the record straight about the differences between her son and the character he plays on “The White Lotus.”","2025-04-04T08:00:07Z"
"anagha00@umd.edu","0ff825bd-17a3-53aa-974c-146b9f09f9e5","New Post","Bluesky","bsky.app","""Wish that you spent your Friday doing something besides checking if TikTok was banned or not? \n\nTry out @skylight.social — a video app built upon the same open network as Bluesky. You can login with your Bluesky account, and all of your followers seamlessly come with you.""","2025-04-04T22:18:39.760Z"
"anagha00@umd.edu","107b4780-b0ee-5b8d-a913-9682f41b7d71","Reposted by @emrazz.bsky.social","","lorainkc.bsky.social","#handsoff\nTopeka KS","2025-04-05T17:01:19.345Z"
"anagha00@umd.edu","10f033f9-2c0b-5904-b8e5-715a3e915b0f","New Post","feminist next door","emrazz.bsky.social","Still true.","2025-04-07T20:12:58.595Z"
"anagha00@umd.edu","112093a8-289c-5cb0-94f9-033460193797","New Post","NBC News","nbcnews.com","""President Putin appears to be slow-walking talks with President Trump so he can advance Russia's battlefield in Ukraine, while gambling on achieving normalized relations with the White House, some experts say.""","2025-04-05T15:30:07Z"
"anagha00@umd.edu","114d6c22-d9e4-5e30-9c89-f48376e35330","New Post","NBC News","nbcnews.com","""Former federal prosecutors and outside organizations raised alarms this week over the nomination of Ed Martin, the interim U.S. Attorney for the District of Columbia, to take over as the top federal prosecutor in Washington on a permanent basis.""","2025-04-04T01:30:06Z"
"anagha00@umd.edu","11c09667-241a-5894-b9af-ad37a191a2d3","New Post","Pop Base","popbase.tv","Woody Harrelson was set to be in ‘The White Lotus’ Season 3 but ultimately turned it down to go on a family vacation.","2025-04-06T19:26:39.549Z"
"anagha00@umd.edu","12200f7f-a9f9-5343-9d01-36ee57abee0a","New Post","""Science Friday ""","scifri.bsky.social","Call (877) 925-9174 to ask a question live on the air!","2025-04-04T18:41:21.933Z"
